,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
984,6,9,7,10,5,9,7,1,8,4,3,1,2,9,10,7,2,9,3,11,5,2,7,11,2,0,6,3,4,0,9,0,3,6,8,0
985,6,9,7,10,5,9,7,1,8,4,3,1,2,9,10,7,2,9,3,11,5,2,7,11,2,0,6,3,4,0,9,0,3,6,8,0
986,1,1,11,10,5,9,6,9,0,4,3,1,4,0,11,7,2,9,8,1,9,2,7,11,7,11,1,3,4,0,4,9,1,6,8,0
987,1,1,11,10,5,9,6,9,0,4,3,1,4,0,11,7,2,9,8,1,9,2,7,11,7,11,1,3,4,0,4,9,1,6,8,0
988,7,1,10,10,5,9,1,9,4,4,3,1,7,0,7,7,2,9,9,1,2,2,7,11,0,11,3,3,4,0,0,9,6,6,8,0
989,7,1,10,10,5,9,1,9,4,4,3,1,7,0,7,7,2,9,9,1,2,2,7,11,0,11,3,3,4,0,0,9,6,6,8,0
990,3,1,4,10,5,9,3,9,10,4,3,1,1,0,6,7,2,9,6,1,8,2,7,11,4,11,5,3,4,0,7,9,7,6,8,0
991,3,1,4,10,5,9,3,9,10,4,3,1,1,0,6,7,2,9,6,1,8,2,7,11,4,11,5,3,4,0,7,9,7,6,8,0
992,6,5,7,10,5,9,7,3,8,4,3,1,2,2,10,7,2,9,3,7,5,2,7,11,2,4,6,3,4,0,9,8,3,6,8,0
993,6,5,7,10,5,9,7,3,8,4,3,1,2,2,10,7,2,9,3,7,5,2,7,11,2,4,6,3,4,0,9,8,3,6,8,0
994,1,6,11,10,5,9,6,2,0,4,3,1,4,4,11,7,2,9,8,3,9,2,7,11,7,7,1,3,4,0,4,5,1,6,8,0
995,1,6,11,10,5,9,6,2,0,4,3,1,4,4,11,7,2,9,8,3,9,2,7,11,7,7,1,3,4,0,4,5,1,6,8,0
996,7,6,10,10,5,9,1,2,4,4,3,1,7,4,7,7,2,9,9,3,2,2,7,11,0,7,3,3,4,0,0,5,6,6,8,0
997,7,6,10,10,5,9,1,2,4,4,3,1,7,4,7,7,2,9,9,3,2,2,7,11,0,7,3,3,4,0,0,5,6,6,8,0
998,3,6,4,10,5,9,3,2,10,4,3,1,1,4,6,7,2,9,6,3,8,2,7,11,4,7,5,3,4,0,7,5,7,6,8,0
999,3,6,4,10,5,9,3,2,10,4,3,1,1,4,6,7,2,9,6,3,8,2,7,11,4,7,5,3,4,0,7,5,7,6,8,0
1000,6,6,7,7,5,8,7,2,8,8,3,7,2,4,10,10,2,3,3,3,5,5,7,4,2,7,6,6,4,2,9,5,3,3,8,10
1001,6,6,7,7,5,8,7,2,8,8,3,7,2,4,10,10,2,3,3,3,5,5,7,4,2,7,6,6,4,2,9,5,3,3,8,10
1002,1,10,11,7,5,8,6,4,0,8,3,7,4,7,11,10,2,3,8,2,9,5,7,4,7,3,1,6,4,2,4,6,1,3,8,10
1003,1,10,11,7,5,8,6,4,0,8,3,7,4,7,11,10,2,3,8,2,9,5,7,4,7,3,1,6,4,2,4,6,1,3,8,10
1004,7,10,10,7,5,8,1,4,4,8,3,7,7,7,7,10,2,3,9,2,2,5,7,4,0,3,3,6,4,2,0,6,6,3,8,10
1005,7,10,10,7,5,8,1,4,4,8,3,7,7,7,7,10,2,3,9,2,2,5,7,4,0,3,3,6,4,2,0,6,6,3,8,10
1006,3,10,4,7,5,8,3,4,10,8,3,7,1,7,6,10,2,3,6,2,8,5,7,4,4,3,5,6,4,2,7,6,7,3,8,10
1007,3,10,4,7,5,8,3,4,10,8,3,7,1,7,6,10,2,3,6,2,8,5,7,4,4,3,5,6,4,2,7,6,7,3,8,10
1008,6,7,7,7,5,8,7,8,8,8,3,7,2,10,10,10,2,3,3,5,5,5,7,4,2,6,6,6,4,2,9,3,3,3,8,10
1009,6,7,7,7,5,8,7,8,8,8,3,7,2,10,10,10,2,3,3,5,5,5,7,4,2,6,6,6,4,2,9,3,3,3,8,10
1010,1,4,11,7,5,8,6,10,0,8,3,7,4,6,11,10,2,3,8,8,9,5,7,4,7,5,1,6,4,2,4,7,1,3,8,10
1011,1,4,11,7,5,8,6,10,0,8,3,7,4,6,11,10,2,3,8,8,9,5,7,4,7,5,1,6,4,2,4,7,1,3,8,10
1012,7,4,10,7,5,8,1,10,4,8,3,7,7,6,7,10,2,3,9,8,2,5,7,4,0,5,3,6,4,2,0,7,6,3,8,10
1013,7,4,10,7,5,8,1,10,4,8,3,7,7,6,7,10,2,3,9,8,2,5,7,4,0,5,3,6,4,2,0,7,6,3,8,10
1014,3,4,4,7,5,8,3,10,10,8,3,7,1,6,6,10,2,3,6,8,8,5,7,4,4,5,5,6,4,2,7,7,7,3,8,10
1015,3,4,4,7,5,8,3,10,10,8,3,7,1,6,6,10,2,3,6,8,8,5,7,4,4,5,5,6,4,2,7,7,7,3,8,10
1016,6,11,7,7,5,8,7,0,8,8,3,7,2,11,10,10,2,3,3,9,5,5,7,4,2,1,6,6,4,2,9,1,3,3,8,10
1017,6,11,7,7,5,8,7,0,8,8,3,7,2,11,10,10,2,3,3,9,5,5,7,4,2,1,6,6,4,2,9,1,3,3,8,10
1018,1,0,11,7,5,8,6,11,0,8,3,7,4,1,11,10,2,3,8,0,9,5,7,4,7,9,1,6,4,2,4,11,1,3,8,10
1019,1,0,11,7,5,8,6,11,0,8,3,7,4,1,11,10,2,3,8,0,9,5,7,4,7,9,1,6,4,2,4,11,1,3,8,10
1020,7,0,10,7,5,8,1,11,4,8,3,7,7,1,7,10,2,3,9,0,2,5,7,4,0,9,3,6,4,2,0,11,6,3,8,10
1021,7,0,10,7,5,8,1,11,4,8,3,7,7,1,7,10,2,3,9,0,2,5,7,4,0,9,3,6,4,2,0,11,6,3,8,10
1022,3,0,4,7,5,8,3,11,10,8,3,7,1,1,6,10,2,3,6,0,8,5,7,4,4,9,5,6,4,2,7,11,7,3,8,10
1023,3,0,4,7,5,8,3,11,10,8,3,7,1,1,6,10,2,3,6,0,8,5,7,4,4,9,5,6,4,2,7,11,7,3,8,10
1024,6,10,7,7,5,8,7,4,8,8,3,7,2,7,10,10,2,3,3,2,5,5,7,4,2,3,6,6,4,2,9,6,3,3,8,10
1025,6,10,7,7,5,8,7,4,8,8,3,7,2,7,10,10,2,3,3,2,5,5,7,4,2,3,6,6,4,2,9,6,3,3,8,10
1026,1,8,11,7,5,8,6,7,0,8,3,7,4,3,11,10,2,3,8,4,9,5,7,4,7,2,1,6,4,2,4,10,1,3,8,10
1027,1,8,11,7,5,8,6,7,0,8,3,7,4,3,11,10,2,3,8,4,9,5,7,4,7,2,1,6,4,2,4,10,1,3,8,10
1028,7,8,10,7,5,8,1,7,4,8,3,7,7,3,7,10,2,3,9,4,2,5,7,4,0,2,3,6,4,2,0,10,6,3,8,10
1029,7,8,10,7,5,8,1,7,4,8,3,7,7,3,7,10,2,3,9,4,2,5,7,4,0,2,3,6,4,2,0,10,6,3,8,10
1030,3,8,4,7,5,8,3,7,10,8,3,7,1,3,6,10,2,3,6,4,8,5,7,4,4,2,5,6,4,2,7,10,7,3,8,10
1031,3,8,4,7,5,8,3,7,10,8,3,7,1,3,6,10,2,3,6,4,8,5,7,4,4,2,5,6,4,2,7,10,7,3,8,10
1032,6,4,7,7,5,8,7,10,8,8,3,7,2,6,10,10,2,3,3,8,5,5,7,4,2,5,6,6,4,2,9,7,3,3,8,10
1033,6,4,7,7,5,8,7,10,8,8,3,7,2,6,10,10,2,3,3,8,5,5,7,4,2,5,6,6,4,2,9,7,3,3,8,10
1034,1,2,11,7,5,8,6,6,0,8,3,7,4,5,11,10,2,3,8,10,9,5,7,4,7,8,1,6,4,2,4,4,1,3,8,10
1035,1,2,11,7,5,8,6,6,0,8,3,7,4,5,11,10,2,3,8,10,9,5,7,4,7,8,1,6,4,2,4,4,1,3,8,10
1036,7,2,10,7,5,8,1,6,4,8,3,7,7,5,7,10,2,3,9,10,2,5,7,4,0,8,3,6,4,2,0,4,6,3,8,10
1037,7,2,10,7,5,8,1,6,4,8,3,7,7,5,7,10,2,3,9,10,2,5,7,4,0,8,3,6,4,2,0,4,6,3,8,10
1038,3,2,4,7,5,8,3,6,10,8,3,7,1,5,6,10,2,3,6,10,8,5,7,4,4,8,5,6,4,2,7,4,7,3,8,10
1039,3,2,4,7,5,8,3,6,10,8,3,7,1,5,6,10,2,3,6,10,8,5,7,4,4,8,5,6,4,2,7,4,7,3,8,10
1040,6,2,7,7,5,8,7,6,8,8,3,7,2,5,10,10,2,3,3,10,5,5,7,4,2,8,6,6,4,2,9,4,3,3,8,10
1041,6,2,7,7,5,8,7,6,8,8,3,7,2,5,10,10,2,3,3,10,5,5,7,4,2,8,6,6,4,2,9,4,3,3,8,10
1042,1,3,11,7,5,8,6,5,0,8,3,7,4,8,11,10,2,3,8,6,9,5,7,4,7,10,1,6,4,2,4,2,1,3,8,10
1043,1,3,11,7,5,8,6,5,0,8,3,7,4,8,11,10,2,3,8,6,9,5,7,4,7,10,1,6,4,2,4,2,1,3,8,10
1044,7,3,10,7,5,8,1,5,4,8,3,7,7,8,7,10,2,3,9,6,2,5,7,4,0,10,3,6,4,2,0,2,6,3,8,10
1045,7,3,10,7,5,8,1,5,4,8,3,7,7,8,7,10,2,3,9,6,2,5,7,4,0,10,3,6,4,2,0,2,6,3,8,10
1046,3,3,4,7,5,8,3,5,10,8,3,7,1,8,6,10,2,3,6,6,8,5,7,4,4,10,5,6,4,2,7,2,7,3,8,10
1047,3,3,4,7,5,8,3,5,10,8,3,7,1,8,6,10,2,3,6,6,8,5,7,4,4,10,5,6,4,2,7,2,7,3,8,10
1048,6,9,7,7,5,8,7,1,8,8,3,7,2,9,10,10,2,3,3,11,5,5,7,4,2,0,6,6,4,2,9,0,3,3,8,10
1049,6,9,7,7,5,8,7,1,8,8,3,7,2,9,10,10,2,3,3,11,5,5,7,4,2,0,6,6,4,2,9,0,3,3,8,10
1050,1,1,11,7,5,8,6,9,0,8,3,7,4,0,11,10,2,3,8,1,9,5,7,4,7,11,1,6,4,2,4,9,1,3,8,10
1051,1,1,11,7,5,8,6,9,0,8,3,7,4,0,11,10,2,3,8,1,9,5,7,4,7,11,1,6,4,2,4,9,1,3,8,10
1052,7,1,10,7,5,8,1,9,4,8,3,7,7,0,7,10,2,3,9,1,2,5,7,4,0,11,3,6,4,2,0,9,6,3,8,10
1053,7,1,10,7,5,8,1,9,4,8,3,7,7,0,7,10,2,3,9,1,2,5,7,4,0,11,3,6,4,2,0,9,6,3,8,10
1054,3,1,4,7,5,8,3,9,10,8,3,7,1,0,6,10,2,3,6,1,8,5,7,4,4,11,5,6,4,2,7,9,7,3,8,10
1055,3,1,4,7,5,8,3,9,10,8,3,7,1,0,6,10,2,3,6,1,8,5,7,4,4,11,5,6,4,2,7,9,7,3,8,10
1056,6,5,7,7,5,8,7,3,8,8,3,7,2,2,10,10,2,3,3,7,5,5,7,4,2,4,6,6,4,2,9,8,3,3,8,10
1057,6,5,7,7,5,8,7,3,8,8,3,7,2,2,10,10,2,3,3,7,5,5,7,4,2,4,6,6,4,2,9,8,3,3,8,10
1058,1,6,11,7,5,8,6,2,0,8,3,7,4,4,11,10,2,3,8,3,9,5,7,4,7,7,1,6,4,2,4,5,1,3,8,10
1059,1,6,11,7,5,8,6,2,0,8,3,7,4,4,11,10,2,3,8,3,9,5,7,4,7,7,1,6,4,2,4,5,1,3,8,10
1060,7,6,10,7,5,8,1,2,4,8,3,7,7,4,7,10,2,3,9,3,2,5,7,4,0,7,3,6,4,2,0,5,6,3,8,10
1061,7,6,10,7,5,8,1,2,4,8,3,7,7,4,7,10,2,3,9,3,2,5,7,4,0,7,3,6,4,2,0,5,6,3,8,10
1062,3,6,4,7,5,8,3,2,10,8,3,7,1,4,6,10,2,3,6,3,8,5,7,4,4,7,5,6,4,2,7,5,7,3,8,10
1063,3,6,4,7,5,8,3,2,10,8,3,7,1,4,6,10,2,3,6,3,8,5,7,4,4,7,5,6,4,2,7,5,7,3,8,10
1064,6,3,7,7,5,8,7,5,8,8,3,7,2,8,10,10,2,3,3,6,5,5,7,4,2,10,6,6,4,2,9,2,3,3,8,10
1065,6,3,7,7,5,8,7,5,8,8,3,7,2,8,10,10,2,3,3,6,5,5,7,4,2,10,6,6,4,2,9,2,3,3,8,10
1066,1,7,11,7,5,8,6,8,0,8,3,7,4,10,11,10,2,3,8,5,9,5,7,4,7,6,1,6,4,2,4,3,1,3,8,10
1067,1,7,11,7,5,8,6,8,0,8,3,7,4,10,11,10,2,3,8,5,9,5,7,4,7,6,1,6,4,2,4,3,1,3,8,10
1068,7,7,10,7,5,8,1,8,4,8,3,7,7,10,7,10,2,3,9,5,2,5,7,4,0,6,3,6,4,2,0,3,6,3,8,10
1069,7,7,10,7,5,8,1,8,4,8,3,7,7,10,7,10,2,3,9,5,2,5,7,4,0,6,3,6,4,2,0,3,6,3,8,10
1070,3,7,4,7,5,8,3,8,10,8,3,7,1,10,6,10,2,3,6,5,8,5,7,4,4,6,5,6,4,2,7,3,7,3,8,10
1071,3,7,4,7,5,8,3,8,10,8,3,7,1,10,6,10,2,3,6,5,8,5,7,4,4,6,5,6,4,2,7,3,7,3,8,10
1072,6,1,7,7,5,8,7,9,8,8,3,7,2,0,10,10,2,3,3,1,5,5,7,4,2,11,6,6,4,2,9,9,3,3,8,10
1073,6,1,7,7,5,8,7,9,8,8,3,7,2,0,10,10,2,3,3,1,5,5,7,4,2,11,6,6,4,2,9,9,3,3,8,10
1074,1,11,11,7,5,8,6,0,0,8,3,7,4,11,11,10,2,3,8,9,9,5,7,4,7,1,1,6,4,2,4,1,1,3,8,10
1075,1,11,11,7,5,8,6,0,0,8,3,7,4,11,11,10,2,3,8,9,9,5,7,4,7,1,1,6,4,2,4,1,1,3,8,10
1076,7,11,10,7,5,8,1,0,4,8,3,7,7,11,7,10,2,3,9,9,2,5,7,4,0,1,3,6,4,2,0,1,6,3,8,10
1077,7,11,10,7,5,8,1,0,4,8,3,7,7,11,7,10,2,3,9,9,2,5,7,4,0,1,3,6,4,2,0,1,6,3,8,10
1078,3,11,4,7,5,8,3,0,10,8,3,7,1,11,6,10,2,3,6,9,8,5,7,4,4,1,5,6,4,2,7,1,7,3,8,10
1079,3,11,4,7,5,8,3,0,10,8,3,7,1,11,6,10,2,3,6,9,8,5,7,4,4,1,5,6,4,2,7,1,7,3,8,10
1080,6,11,7,4,5,5,7,0,8,10,3,3,2,11,10,6,2,2,3,9,5,8,7,7,2,1,6,5,4,4,9,1,3,7,8,8
1081,6,11,7,4,5,5,7,0,8,10,3,3,2,11,10,6,2,2,3,9,5,8,7,7,2,1,6,5,4,4,9,1,3,7,8,8
1082,1,0,11,4,5,5,6,11,0,10,3,3,4,1,11,6,2,2,8,0,9,8,7,7,7,9,1,5,4,4,4,11,1,7,8,8
1083,1,0,11,4,5,5,6,11,0,10,3,3,4,1,11,6,2,2,8,0,9,8,7,7,7,9,1,5,4,4,4,11,1,7,8,8
1084,7,0,10,4,5,5,1,11,4,10,3,3,7,1,7,6,2,2,9,0,2,8,7,7,0,9,3,5,4,4,0,11,6,7,8,8
1085,7,0,10,4,5,5,1,11,4,10,3,3,7,1,7,6,2,2,9,0,2,8,7,7,0,9,3,5,4,4,0,11,6,7,8,8
1086,3,0,4,4,5,5,3,11,10,10,3,3,1,1,6,6,2,2,6,0,8,8,7,7,4,9,5,5,4,4,7,11,7,7,8,8
1087,3,0,4,4,5,5,3,11,10,10,3,3,1,1,6,6,2,2,6,0,8,8,7,7,4,9,5,5,4,4,7,11,7,7,8,8
1088,6,10,7,4,5,5,7,4,8,10,3,3,2,7,10,6,2,2,3,2,5,8,7,7,2,3,6,5,4,4,9,6,3,7,8,8
1089,6,10,7,4,5,5,7,4,8,10,3,3,2,7,10,6,2,2,3,2,5,8,7,7,2,3,6,5,4,4,9,6,3,7,8,8
1090,1,8,11,4,5,5,6,7,0,10,3,3,4,3,11,6,2,2,8,4,9,8,7,7,7,2,1,5,4,4,4,10,1,7,8,8
1091,1,8,11,4,5,5,6,7,0,10,3,3,4,3,11,6,2,2,8,4,9,8,7,7,7,2,1,5,4,4,4,10,1,7,8,8
1092,7,8,10,4,5,5,1,7,4,10,3,3,7,3,7,6,2,2,9,4,2,8,7,7,0,2,3,5,4,4,0,10,6,7,8,8
1093,7,8,10,4,5,5,1,7,4,10,3,3,7,3,7,6,2,2,9,4,2,8,7,7,0,2,3,5,4,4,0,10,6,7,8,8
1094,3,8,4,4,5,5,3,7,10,10,3,3,1,3,6,6,2,2,6,4,8,8,7,7,4,2,5,5,4,4,7,10,7,7,8,8
1095,3,8,4,4,5,5,3,7,10,10,3,3,1,3,6,6,2,2,6,4,8,8,7,7,4,2,5,5,4,4,7,10,7,7,8,8
1096,6,4,7,4,5,5,7,10,8,10,3,3,2,6,10,6,2,2,3,8,5,8,7,7,2,5,6,5,4,4,9,7,3,7,8,8
1097,6,4,7,4,5,5,7,10,8,10,3,3,2,6,10,6,2,2,3,8,5,8,7,7,2,5,6,5,4,4,9,7,3,7,8,8
1098,1,2,11,4,5,5,6,6,0,10,3,3,4,5,11,6,2,2,8,10,9,8,7,7,7,8,1,5,4,4,4,4,1,7,8,8
1099,1,2,11,4,5,5,6,6,0,10,3,3,4,5,11,6,2,2,8,10,9,8,7,7,7,8,1,5,4,4,4,4,1,7,8,8
1100,7,2,10,4,5,5,1,6,4,10,3,3,7,5,7,6,2,2,9,10,2,8,7,7,0,8,3,5,4,4,0,4,6,7,8,8
1101,7,2,10,4,5,5,1,6,4,10,3,3,7,5,7,6,2,2,9,10,2,8,7,7,0,8,3,5,4,4,0,4,6,7,8,8
1102,3,2,4,4,5,5,3,6,10,10,3,3,1,5,6,6,2,2,6,10,8,8,7,7,4,8,5,5,4,4,7,4,7,7,8,8
1103,3,2,4,4,5,5,3,6,10,10,3,3,1,5,6,6,2,2,6,10,8,8,7,7,4,8,5,5,4,4,7,4,7,7,8,8
1104,6,0,7,4,5,5,7,11,8,10,3,3,2,1,10,6,2,2,3,0,5,8,7,7,2,9,6,5,4,4,9,11,3,7,8,8
1105,6,0,7,4,5,5,7,11,8,10,3,3,2,1,10,6,2,2,3,0,5,8,7,7,2,9,6,5,4,4,9,11,3,7,8,8
1106,1,9,11,4,5,5,6,1,0,10,3,3,4,9,11,6,2,2,8,11,9,8,7,7,7,0,1,5,4,4,4,0,1,7,8,8
1107,1,9,11,4,5,5,6,1,0,10,3,3,4,9,11,6,2,2,8,11,9,8,7,7,7,0,1,5,4,4,4,0,1,7,8,8
1108,7,9,10,4,5,5,1,1,4,10,3,3,7,9,7,6,2,2,9,11,2,8,7,7,0,0,3,5,4,4,0,0,6,7,8,8
1109,7,9,10,4,5,5,1,1,4,10,3,3,7,9,7,6,2,2,9,11,2,8,7,7,0,0,3,5,4,4,0,0,6,7,8,8
1110,3,9,4,4,5,5,3,1,10,10,3,3,1,9,6,6,2,2,6,11,8,8,7,7,4,0,5,5,4,4,7,0,7,7,8,8
1111,3,9,4,4,5,5,3,1,10,10,3,3,1,9,6,6,2,2,6,11,8,8,7,7,4,0,5,5,4,4,7,0,7,7,8,8
1112,6,8,7,4,5,5,7,7,8,10,3,3,2,3,10,6,2,2,3,4,5,8,7,7,2,2,6,5,4,4,9,10,3,7,8,8
1113,6,8,7,4,5,5,7,7,8,10,3,3,2,3,10,6,2,2,3,4,5,8,7,7,2,2,6,5,4,4,9,10,3,7,8,8
1114,1,5,11,4,5,5,6,3,0,10,3,3,4,2,11,6,2,2,8,7,9,8,7,7,7,4,1,5,4,4,4,8,1,7,8,8
1115,1,5,11,4,5,5,6,3,0,10,3,3,4,2,11,6,2,2,8,7,9,8,7,7,7,4,1,5,4,4,4,8,1,7,8,8
1116,7,5,10,4,5,5,1,3,4,10,3,3,7,2,7,6,2,2,9,7,2,8,7,7,0,4,3,5,4,4,0,8,6,7,8,8
1117,7,5,10,4,5,5,1,3,4,10,3,3,7,2,7,6,2,2,9,7,2,8,7,7,0,4,3,5,4,4,0,8,6,7,8,8
1118,3,5,4,4,5,5,3,3,10,10,3,3,1,2,6,6,2,2,6,7,8,8,7,7,4,4,5,5,4,4,7,8,7,7,8,8
1119,3,5,4,4,5,5,3,3,10,10,3,3,1,2,6,6,2,2,6,7,8,8,7,7,4,4,5,5,4,4,7,8,7,7,8,8
1120,6,5,7,4,5,5,7,3,8,10,3,3,2,2,10,6,2,2,3,7,5,8,7,7,2,4,6,5,4,4,9,8,3,7,8,8
1121,6,5,7,4,5,5,7,3,8,10,3,3,2,2,10,6,2,2,3,7,5,8,7,7,2,4,6,5,4,4,9,8,3,7,8,8
1122,1,6,11,4,5,5,6,2,0,10,3,3,4,4,11,6,2,2,8,3,9,8,7,7,7,7,1,5,4,4,4,5,1,7,8,8
1123,1,6,11,4,5,5,6,2,0,10,3,3,4,4,11,6,2,2,8,3,9,8,7,7,7,7,1,5,4,4,4,5,1,7,8,8
1124,7,6,10,4,5,5,1,2,4,10,3,3,7,4,7,6,2,2,9,3,2,8,7,7,0,7,3,5,4,4,0,5,6,7,8,8
1125,7,6,10,4,5,5,1,2,4,10,3,3,7,4,7,6,2,2,9,3,2,8,7,7,0,7,3,5,4,4,0,5,6,7,8,8
1126,3,6,4,4,5,5,3,2,10,10,3,3,1,4,6,6,2,2,6,3,8,8,7,7,4,7,5,5,4,4,7,5,7,7,8,8
1127,3,6,4,4,5,5,3,2,10,10,3,3,1,4,6,6,2,2,6,3,8,8,7,7,4,7,5,5,4,4,7,5,7,7,8,8
1128,6,3,7,4,5,5,7,5,8,10,3,3,2,8,10,6,2,2,3,6,5,8,7,7,2,10,6,5,4,4,9,2,3,7,8,8
1129,6,3,7,4,5,5,7,5,8,10,3,3,2,8,10,6,2,2,3,6,5,8,7,7,2,10,6,5,4,4,9,2,3,7,8,8
1130,1,7,11,4,5,5,6,8,0,10,3,3,4,10,11,6,2,2,8,5,9,8,7,7,7,6,1,5,4,4,4,3,1,7,8,8
1131,1,7,11,4,5,5,6,8,0,10,3,3,4,10,11,6,2,2,8,5,9,8,7,7,7,6,1,5,4,4,4,3,1,7,8,8
1132,7,7,10,4,5,5,1,8,4,10,3,3,7,10,7,6,2,2,9,5,2,8,7,7,0,6,3,5,4,4,0,3,6,7,8,8
1133,7,7,10,4,5,5,1,8,4,10,3,3,7,10,7,6,2,2,9,5,2,8,7,7,0,6,3,5,4,4,0,3,6,7,8,8
1134,3,7,4,4,5,5,3,8,10,10,3,3,1,10,6,6,2,2,6,5,8,8,7,7,4,6,5,5,4,4,7,3,7,7,8,8
1135,3,7,4,4,5,5,3,8,10,10,3,3,1,10,6,6,2,2,6,5,8,8,7,7,4,6,5,5,4,4,7,3,7,7,8,8
1136,6,1,7,4,5,5,7,9,8,10,3,3,2,0,10,6,2,2,3,1,5,8,7,7,2,11,6,5,4,4,9,9,3,7,8,8
1137,6,1,7,4,5,5,7,9,8,10,3,3,2,0,10,6,2,2,3,1,5,8,7,7,2,11,6,5,4,4,9,9,3,7,8,8
1138,1,11,11,4,5,5,6,0,0,10,3,3,4,11,11,6,2,2,8,9,9,8,7,7,7,1,1,5,4,4,4,1,1,7,8,8
1139,1,11,11,4,5,5,6,0,0,10,3,3,4,11,11,6,2,2,8,9,9,8,7,7,7,1,1,5,4,4,4,1,1,7,8,8
1140,7,11,10,4,5,5,1,0,4,10,3,3,7,11,7,6,2,2,9,9,2,8,7,7,0,1,3,5,4,4,0,1,6,7,8,8
1141,7,11,10,4,5,5,1,0,4,10,3,3,7,11,7,6,2,2,9,9,2,8,7,7,0,1,3,5,4,4,0,1,6,7,8,8
1142,3,11,4,4,5,5,3,0,10,10,3,3,1,11,6,6,2,2,6,9,8,8,7,7,4,1,5,5,4,4,7,1,7,7,8,8
1143,3,11,4,4,5,5,3,0,10,10,3,3,1,11,6,6,2,2,6,9,8,8,7,7,4,1,5,5,4,4,7,1,7,7,8,8
1144,6,6,7,4,5,5,7,2,8,10,3,3,2,4,10,6,2,2,3,3,5,8,7,7,2,7,6,5,4,4,9,5,3,7,8,8
1145,6,6,7,4,5,5,7,2,8,10,3,3,2,4,10,6,2,2,3,3,5,8,7,7,2,7,6,5,4,4,9,5,3,7,8,8
1146,1,10,11,4,5,5,6,4,0,10,3,3,4,7,11,6,2,2,8,2,9,8,7,7,7,3,1,5,4,4,4,6,1,7,8,8
1147,1,10,11,4,5,5,6,4,0,10,3,3,4,7,11,6,2,2,8,2,9,8,7,7,7,3,1,5,4,4,4,6,1,7,8,8
1148,7,10,10,4,5,5,1,4,4,10,3,3,7,7,7,6,2,2,9,2,2,8,7,7,0,3,3,5,4,4,0,6,6,7,8,8
1149,7,10,10,4,5,5,1,4,4,10,3,3,7,7,7,6,2,2,9,2,2,8,7,7,0,3,3,5,4,4,0,6,6,7,8,8
1150,3,10,4,4,5,5,3,4,10,10,3,3,1,7,6,6,2,2,6,2,8,8,7,7,4,3,5,5,4,4,7,6,7,7,8,8
1151,3,10,4,4,5,5,3,4,10,10,3,3,1,7,6,6,2,2,6,2,8,8,7,7,4,3,5,5,4,4,7,6,7,7,8,8
1152,6,7,7,4,5,5,7,8,8,10,3,3,2,10,10,6,2,2,3,5,5,8,7,7,2,6,6,5,4,4,9,3,3,7,8,8
1153,6,7,7,4,5,5,7,8,8,10,3,3,2,10,10,6,2,2,3,5,5,8,7,7,2,6,6,5,4,4,9,3,3,7,8,8
1154,1,4,11,4,5,5,6,10,0,10,3,3,4,6,11,6,2,2,8,8,9,8,7,7,7,5,1,5,4,4,4,7,1,7,8,8
1155,1,4,11,4,5,5,6,10,0,10,3,3,4,6,11,6,2,2,8,8,9,8,7,7,7,5,1,5,4,4,4,7,1,7,8,8
1156,7,4,10,4,5,5,1,10,4,10,3,3,7,6,7,6,2,2,9,8,2,8,7,7,0,5,3,5,4,4,0,7,6,7,8,8
1157,7,4,10,4,5,5,1,10,4,10,3,3,7,6,7,6,2,2,9,8,2,8,7,7,0,5,3,5,4,4,0,7,6,7,8,8
1158,3,4,4,4,5,5,3,10,10,10,3,3,1,6,6,6,2,2,6,8,8,8,7,7,4,5,5,5,4,4,7,7,7,7,8,8
1159,3,4,4,4,5,5,3,10,10,10,3,3,1,6,6,6,2,2,6,8,8,8,7,7,4,5,5,5,4,4,7,7,7,7,8,8
1160,6,4,7,4,5,5,7,10,8,10,3,3,2,6,10,6,2,2,3,8,5,8,7,7,2,5,6,5,4,4,9,7,3,7,8,8
1161,6,4,7,4,5,5,7,10,8,10,3,3,2,6,10,6,2,2,3,8,5,8,7,7,2,5,6,5,4,4,9,7,3,7,8,8
1162,1,2,11,4,5,5,6,6,0,10,3,3,4,5,11,6,2,2,8,10,9,8,7,7,7,8,1,5,4,4,4,4,1,7,8,8
1163,1,2,11,4,5,5,6,6,0,10,3,3,4,5,11,6,2,2,8,10,9,8,7,7,7,8,1,5,4,4,4,4,1,7,8,8
